state, medianHomePrice ,medianHomePriceYearOnYearGrowth, gdp_per_capita , population_states 
New York,819900,-1.8,108380,20201249
California,785900,-5.8,96222,39538223
Hawaii,720200,1.4,71215,1455271
District of Columbia,668250,2.8,239861,689545
Washington,618000,-5.4,97805,7705281
Massachusetts,614700,1.8,103340,7029917
Colorado,580900,-4.1,85816,5773714
Utah,529600,-8,76487,3271616
Oregon,510900,-3.2,74492,4237256
New Jersey,477600,5,83810,9288994
Rhode Island,462100,7.5,67358,1097379
Idaho,460900,9.2,58855,1839106
New Hampshire,452700,4.4,78281,1377529
Virginia,440200,-0.2,77875,8631393
Arizona,436100,-6.2,65096,7151502
Nevada,428100,8.1,71990,3104614
Maryland,421800,0.8,79111,6177224
Florida,407200,-0.4,65390,21538187
Connecticut,393700,6.6,91763,3605944
Vermont,385300,5.3,65279,643077
Alaska,379600,4.5,86902,733391
Tennessee,377200,2.4,71198,6910840
Georgia,375300,0.9,72340,10214860
South Carolina,374200,2.1,58398,5118425
Maine,373700,6.1,63267,1363359
North Carolina,371100,2.9,71297,10439388
Texas,357800,4.4,81130,29145505
New Mexico,349200,0.6,58716,2117522
Minnesota,341700,-2.2,81150,5706494
Delaware,327300,1.3,89785,989948
West Virginia,304400,4.2,53939,1793716
Wisconsin,297100,6,70728,5893718
Nebraska,290500,7.9,85931,1961504
Alabama,284900,1.3,56897,5024279
Illinois,280900,0,85111,12812508
Pennsylvania,278700,0,74109,13002700
Kansas,276300,2.1,74962,2937880
Wyoming,276000,-12.5,81564,576851
Mississippi,271200,6.3,48744,2961279
Arkansas,258100,7.5,56115,3011524
Indiana,258000,3.9,69203,6785528
Louisiana,257400,-2.3,63031,4657757
Missouri,255400,3,65847,6154913
Oklahoma,253200,5.1,60385,3959353
Michigan,252200,1.6,64272,10077331
Kentucky,251300,3,60170,4505836
Ohio,240900,2.4,72550,1839106
Iowa,230600,3.3,75155,3190369
